"Street Address","Suburb","State","Postcode","Property Type","Bed","Bath","Car","Land Size (m²)","Floor Size (m²)","Year Built","Sale Price","Sale Date","Sale Type","Agency","Land Use","Development Zone","Parcel Details","Owner Type","Open in RPData"
"6/11 DONCASTER EAST ROAD ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","2","2","1","115","78","2000","$650,000","09 Jul 2025","Pending Settlement Advice","Barry Plant - Blackburn","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","6/PS414095","Rented","https://rpp.corelogic.com.au/property/6-11-doncaster-east-road-mitcham-vic-3132/11849882"
"14 VENICE AVENUE ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","1","1","542","146","1967","$1,329,000","07 Jul 2025","Pending Settlement Advice","Jellis Craig - Whitehorse","Detached Dwelling","General Residential Zone - Schedule 1","11/LP68323","Owner Occupied","https://rpp.corelogic.com.au/property/14-venice-avenue-mitcham-vic-3132/11859485"
"1/66 CREEK ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","1","1","398","114","1999","$917,000","05 Jul 2025","-","Jellis Craig - Whitehorse","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","1/SP32144","Owner Occupied","https://rpp.corelogic.com.au/property/1-66-creek-road-mitcham-vic-3132/11849103"
"6/21 DONCASTER EAST ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","3","1","155","132","2013","$857,000","05 Jul 2025","-","Noel Jones Whitehorse","OYO Unit","Neighbourhood Residential Zone - Schedule 4","7/PS648889","Owner Occupied","https://rpp.corelogic.com.au/property/6-21-doncaster-east-road-mitcham-vic-3132/16733268"
"1/110A HEATHERDALE ROAD ","MITCHAM","VIC","3132","Unit: Standard","4","2","3","262","132","1970","$925,000","05 Jul 2025","Pending Settlement Advice","CHN Real Estate Group","Townhouse","Neighbourhood Residential Zone - Schedule 3","1/PS439886","Owner Occupied","https://rpp.corelogic.com.au/property/1-110a-heatherdale-road-mitcham-vic-3132/11852291"
"10/6-10 CREEK ROAD ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","2","1","1","78","69","1960","$655,000","03 Jul 2025","Pending Settlement Advice","OBrien Real Estate - Blackburn","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","10/RP19287","Rented","https://rpp.corelogic.com.au/property/10-6-10-creek-road-mitcham-vic-3132/11848926"
"2/24 HARRISON STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","130","80","1976","$550,000","30 Jun 2025","Pending Settlement Advice","Barry Plant - Blackburn","Strata Unit or Flat  (Unspecified)","Residential Growth Zone - Schedule 1","2/RP6940","Owner Occupied","https://rpp.corelogic.com.au/property/2-24-harrison-street-mitcham-vic-3132/11852017"
"7 CHASTA CRESCENT ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","3","648","177","1975","$1,510,000","28 Jun 2025","Pending Settlement Advice","Barry Plant - Blackburn","Detached Dwelling (existing)","Neighbourhood Residential Zone - Schedule 3","33/LP42200","Owner Occupied","https://rpp.corelogic.com.au/property/7-chasta-crescent-mitcham-vic-3132/11848073"
"1/28 GLENBURNIE ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","1","1","275","110","1960","$898,000","28 Jun 2025","-","Jellis Craig - Whitehorse","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","1/PS326411","Owner Occupied","https://rpp.corelogic.com.au/property/1-28-glenburnie-road-mitcham-vic-3132/11851326"
"8 GOOD GOVERNS STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","2","627","105","1982","$1,250,000","28 Jun 2025","-","Jellis Craig - Ringwood","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","38/LP22134","Rented","https://rpp.corelogic.com.au/property/8-good-governs-street-mitcham-vic-3132/11851455"
"1/39 PERCY STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","101","85","1972","$656,000","28 Jun 2025","-","CHN Real Estate Group","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","1/RP2432","Rented","https://rpp.corelogic.com.au/property/1-39-percy-street-mitcham-vic-3132/11856680"
"32 WATTLE VALLEY ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","1","714","218","-","Not Disclosed","27 Jun 2025","Pending Settlement Advice","Noel Jones Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","3/LP43366","Owner Occupied","https://rpp.corelogic.com.au/property/32-wattle-valley-road-mitcham-vic-3132/11860319"
"105/435-439 WHITEHORSE ROAD ","MITCHAM","VIC","3132","Flats: Self Contained","2","1","1","3,180","51","2011","$345,000","27 Jun 2025","-","Noel Jones Ringwood and Croydon","OYO Subdivided Flat","Residential Growth Zone - Schedule 2","G05/PS629194","Rented","https://rpp.corelogic.com.au/property/105-435-439-whitehorse-road-mitcham-vic-3132/16231264"
"6/565 WHITEHORSE ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","1","-","137","114","2000","$736,000","27 Jun 2025","-","Noel Jones Ringwood and Croydon","Single Strata Unit/Villa Unit/Townhouse","Residential Growth Zone - Schedule 1","6/PS426075","Rented","https://rpp.corelogic.com.au/property/6-565-whitehorse-road-mitcham-vic-3132/11860708"
"506A/1 COLOMBO STREET ","MITCHAM","VIC","3132","Flats: Self Contained","1","1","1","3,890","40","2012","$290,000","26 Jun 2025","-","Barry Plant - Blackburn","OYO Subdivided Flat","Mixed Use Zone","506A/PS632398","Rented","https://rpp.corelogic.com.au/property/506a-1-colombo-street-mitcham-vic-3132/17077273"
"16/23 COOK ROAD ","MITCHAM","VIC","3132","Business: Transport & Storage","-","-","-","7,874","-","-","$715,000","26 Jun 2025","-","-","Warehouse","Industrial 3 Zone","16/PS646411","-","https://rpp.corelogic.com.au/property/16-23-cook-road-mitcham-vic-3132/16007689"
"4/30 BRUNSWICK ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","139","71","1990","$626,888","25 Jun 2025","-","Woodards Manningham","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","4/PS324877","Rented","https://rpp.corelogic.com.au/property/4-30-brunswick-road-mitcham-vic-3132/11847215"
"21 SHARROW ROAD ","MITCHAM","VIC","3132","House: Standard","4","2","2","639","150","1980","$1,280,000","24 Jun 2025","-","Hoskins Maroondah","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","21/LP90411","Owner Occupied","https://rpp.corelogic.com.au/property/21-sharrow-road-mitcham-vic-3132/11858467"
"2/11 DONCASTER EAST ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","2","1","116","75","2006","$700,000","23 Jun 2025","-","Barry Plant Manningham","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","2/PS414095","Rented","https://rpp.corelogic.com.au/property/2-11-doncaster-east-road-mitcham-vic-3132/11849874"
"12 COCHRANE STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","266","105","1984","$785,000","22 Jun 2025","-","Barry Plant Manningham - Whitehorse","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","2/SP36172","Rented","https://rpp.corelogic.com.au/property/12-cochrane-street-mitcham-vic-3132/11848534"
"CREEK ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","-","-","1,007","-","1970","$640,000","22 Jun 2025","-","-","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","20/RP19287","Owner Occupied","https://rpp.corelogic.com.au/property/creek-road-mitcham-vic-3132/34389667"
"1/6-10 CREEK ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","88","88","1970","$640,000","22 Jun 2025","-","Noel Jones Whitehorse","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","1/RP19287","Rented","https://rpp.corelogic.com.au/property/1-6-10-creek-road-mitcham-vic-3132/11848915"
"15 RUPERT STREET ","MITCHAM","VIC","3132","House: Standard","4","2","2","809","143","1960","$1,200,000","22 Jun 2025","-","Harcourts Wantirna","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","56/LP41887","Owner Occupied","https://rpp.corelogic.com.au/property/15-rupert-street-mitcham-vic-3132/11858182"
